"","Date","BVSP","USDBRL=X"
"2007-01-01",2007-01-01,NA,2.1325
"2007-01-02",2007-01-02,45383,2.131
"2007-01-03",2007-01-03,44445,2.1345
"2007-01-04",2007-01-04,44020,2.139
"2007-01-05",2007-01-05,42245,2.147
"2007-01-08",2007-01-08,42830,2.1465
"2007-01-09",2007-01-09,42007,2.149
"2007-01-10",2007-01-10,42336,2.1496
"2007-01-11",2007-01-11,42670,2.1415
"2007-01-12",2007-01-12,43095,2.137
"2007-01-15",2007-01-15,42919,2.1368
"2007-01-16",2007-01-16,42624,2.1396
"2007-01-17",2007-01-17,42735,2.1297
"2007-01-18",2007-01-18,42478,2.128
"2007-01-19",2007-01-19,43428,2.1245
"2007-01-22",2007-01-22,43553,2.1285
"2007-01-23",2007-01-23,44177,2.1305
"2007-01-24",2007-01-24,44687,2.125
"2007-01-25",2007-01-25,NA,2.127
"2007-01-26",2007-01-26,44412,2.1315
"2007-01-29",2007-01-29,43573,2.134
"2007-01-30",2007-01-30,44044,2.129
"2007-01-31",2007-01-31,44642,2.1203
"2007-02-01",2007-02-01,44815,2.1032
"2007-02-02",2007-02-02,44998,2.0925
"2007-02-05",2007-02-05,45286,2.0897
"2007-02-06",2007-02-06,45352,2.0825
"2007-02-07",2007-02-07,44588,2.082
"2007-02-08",2007-02-08,44892,2.094
"2007-02-09",2007-02-09,44284,2.0975
"2007-02-12",2007-02-12,43935,2.1105
"2007-02-13",2007-02-13,45197,2.1053
"2007-02-14",2007-02-14,45996,2.095
"2007-02-15",2007-02-15,45955,2.084
"2007-02-16",2007-02-16,45849,2.0877
"2007-02-19",2007-02-19,NA,2.0881
"2007-02-20",2007-02-20,NA,2.0885
"2007-02-21",2007-02-21,46090,2.0771
"2007-02-22",2007-02-22,46452,2.0715
"2007-02-23",2007-02-23,46016,2.0845
"2007-02-26",2007-02-26,46207,2.0808
"2007-02-27",2007-02-27,43145,2.1015
"2007-02-28",2007-02-28,43892,2.116
"2007-03-01",2007-03-01,43517,2.1195
"2007-03-02",2007-03-02,42370,2.1175
"2007-03-05",2007-03-05,41179,2.1355
"2007-03-06",2007-03-06,43218,2.1205
"2007-03-07",2007-03-07,42667,2.1105
"2007-03-08",2007-03-08,43466,2.1014
"2007-03-09",2007-03-09,44133,2.092
"2007-03-12",2007-03-12,44249,2.0875
"2007-03-13",2007-03-13,42749,2.0925
"2007-03-14",2007-03-14,43288,2.1075
"2007-03-15",2007-03-15,43278,2.0852
"2007-03-16",2007-03-16,42730,2.089
"2007-03-19",2007-03-19,43713,2.0737
"2007-03-20",2007-03-20,44351,2.072
"2007-03-21",2007-03-21,45631,2.0676
"2007-03-22",2007-03-22,45424,2.0534
"2007-03-23",2007-03-23,45533,2.062
"2007-03-26",2007-03-26,45645,2.058
"2007-03-27",2007-03-27,45207,2.0592
"2007-03-28",2007-03-28,44484,2.0705
"2007-03-29",2007-03-29,45355,2.051
"2007-03-30",2007-03-30,45805,2.055
"2007-04-02",2007-04-02,45597,2.0435
"2007-04-03",2007-04-03,46288,2.0339
"2007-04-04",2007-04-04,46554,2.0287
"2007-04-05",2007-04-05,46647,2.0274
"2007-04-06",2007-04-06,NA,2.0274
"2007-04-09",2007-04-09,46855,2.0274
"2007-04-10",2007-04-10,47174,2.027
"2007-04-11",2007-04-11,46939,2.0275
"2007-04-12",2007-04-12,47347,2.034
"2007-04-13",2007-04-13,47926,2.0165
"2007-04-16",2007-04-16,48921,2.028
"2007-04-17",2007-04-17,48755,2.0287
"2007-04-18",2007-04-18,48710,2.0335
"2007-04-19",2007-04-19,48762,2.0281
"2007-04-20",2007-04-20,49408,2.0221
"2007-04-23",2007-04-23,49162,2.0193
"2007-04-24",2007-04-24,49071,2.0329
"2007-04-25",2007-04-25,49676,2.0186
"2007-04-26",2007-04-26,49068,2.0181
"2007-04-27",2007-04-27,49230,2.0275
"2007-04-30",2007-04-30,48956,2.0279
"2007-05-01",2007-05-01,NA,2.0279
"2007-05-02",2007-05-02,49472,2.0212
"2007-05-03",2007-05-03,50218,2.0184
"2007-05-04",2007-05-04,50598,2.0253
"2007-05-07",2007-05-07,50282,2.0201
"2007-05-08",2007-05-08,50278,2.0216
"2007-05-09",2007-05-09,51300,2.0187
"2007-05-10",2007-05-10,50235,2.0143
"2007-05-11",2007-05-11,50902,2.0138
"2007-05-14",2007-05-14,50511,2.0065
"2007-05-15",2007-05-15,50518,1.985
"2007-05-16",2007-05-16,51738,1.9606
"2007-05-17",2007-05-17,51631,1.9606
"2007-05-18",2007-05-18,52078,1.9601
"2007-05-21",2007-05-21,52423,1.94
"2007-05-22",2007-05-22,52208,1.9351
"2007-05-23",2007-05-23,51813,1.9383
"2007-05-24",2007-05-24,50531,1.9619
"2007-05-25",2007-05-25,51618,1.9425
"2007-05-28",2007-05-28,52120,1.9425
"2007-05-29",2007-05-29,51713,1.9453
"2007-05-30",2007-05-30,52528,1.945
"2007-05-31",2007-05-31,52268,1.9191
"2007-06-01",2007-06-01,53423,1.9002
"2007-06-04",2007-06-04,53243,1.9368
"2007-06-05",2007-06-05,53162,1.9368
