"","Date","ABEV3.SA","ITSA4.SA","WEGE3.SA","USIM5.SA","VALE3.SA"
"2007-01-02",2007-01-02,2.422435,3.014669,1.439448,15.114117,19.234877
"2007-01-03",2007-01-03,2.409566,3.044762,1.439448,14.590357,18.293718
"2007-01-04",2007-01-04,2.409566,3.058439,1.439448,14.412661,17.999607
"2007-01-05",2007-01-05,2.365041,2.935335,1.439448,13.673789,17.234913
"2007-01-08",2007-01-08,2.406952,3.050233,1.439448,13.804728,17.881962
"2007-01-09",2007-01-09,2.38906,2.94628,1.439448,13.598966,17.426088
"2007-01-10",2007-01-10,2.383932,3.234887,1.439448,14.027322,18.087837
"2007-01-11",2007-01-11,2.41213,2.954485,1.439448,14.044159,18.199602
"2007-01-12",2007-01-12,2.465935,2.965428,1.550175,14.075958,18.705475
"2007-01-15",2007-01-15,2.483904,3.295072,1.993082,13.973078,18.705475
"2007-01-16",2007-01-16,2.478777,2.987313,1.993082,13.748609,18.470179
"2007-01-17",2007-01-17,2.499259,3.361275,1.993082,14.029191,18.558414
"2007-01-18",2007-01-18,2.478777,3.340209,1.993082,14.029191,18.455477
"2007-01-19",2007-01-19,2.460833,3.104945,1.993082,14.141428,19.034876
"2007-01-22",2007-01-22,2.504385,3.091268,1.993082,14.029191,19.302517
"2007-01-23",2007-01-23,2.503898,3.430486,1.993082,14.403306,20.278963
"2007-01-24",2007-01-24,2.530019,3.460577,1.993082,14.88778,20.98189
"2007-01-26",2007-01-26,2.506974,3.222579,1.993082,15.132824,20.705425
"2007-01-29",2007-01-29,2.445454,3.436504,1.993082,14.708208,20.440727
"2007-01-30",2007-01-30,2.478777,3.14051,1.993082,14.870947,20.455425
"2007-01-31",2007-01-31,2.497977,3.535809,1.993082,15.001884,20.911304
"2007-02-01",2007-02-01,2.504359,3.544836,1.993082,15.404052,20.984827
"2007-02-02",2007-02-02,2.504411,3.255406,1.993082,15.993281,20.940718
"2007-02-05",2007-02-05,2.498002,3.244463,1.993082,16.835037,20.837776
"2007-02-06",2007-02-06,2.499284,3.611039,1.993082,17.491602,21.352472
"2007-02-07",2007-02-07,2.495439,3.553863,1.993082,16.741507,20.823076
"2007-02-08",2007-02-08,2.480059,3.520762,1.993082,16.64798,20.934834
"2007-02-09",2007-02-09,2.486595,3.132301,1.993082,16.199041,20.587782
"2007-02-12",2007-02-12,2.504385,3.469605,1.993082,16.24581,20.484846
"2007-02-13",2007-02-13,2.519765,3.475624,1.993082,17.583258,21.499529
"2007-02-14",2007-02-14,2.545425,3.632103,1.993082,17.976074,22.087746
"2007-02-15",2007-02-15,2.596692,3.27182,1.993082,18.256657,22.24951
"2007-02-16",2007-02-16,2.66334,3.255406,1.993082,18.303427,22.146574
"2007-02-21",2007-02-21,2.594103,3.299176,1.993082,18.050894,22.470098
"2007-02-22",2007-02-22,2.640269,3.323797,1.993082,17.693624,22.614206
"2007-02-23",2007-02-23,2.632528,3.611039,1.883463,17.338211,22.540684
"2007-02-26",2007-02-26,2.619762,3.583956,1.882355,17.489729,22.558332
"2007-02-27",2007-02-27,2.522354,3.241727,1.882355,15.787521,20.68778
"2007-02-28",2007-02-28,2.512101,3.427476,1.882355,16.537611,21.326004
"2007-03-01",2007-03-01,2.563369,3.050233,1.882355,16.483366,20.81131
"2007-03-02",2007-03-02,2.550552,2.916186,1.882355,15.563051,20.426023
